latex;natural language
6+7;six plus seven
6+7;add six to seven
6+8;six plus eight
6+8;add six to eight
6+9;six plus nine
6+9;add six to nine
6+x;six plus x
6+x;add six to x
6+y;six plus y
6+y;add six to y
6+z;six plus z
6+z;add six to z
7+0;seven plus zero
7+0;add seven to zero
7+1;seven plus one
7+1;add seven to one
7+2;seven plus two
7+2;add seven to two
7+3;seven plus three
7+3;add seven to three
7+4;seven plus four
7+4;add seven to four
7+5;seven plus five
7+5;add seven to five
7+6;seven plus six
7+6;add seven to six
7+7;seven plus seven
7+7;add seven to seven
7+8;seven plus eight
7+8;add seven to eight
7+9;seven plus nine
7+9;add seven to nine
7+x;seven plus x
7+x;add seven to x
7+y;seven plus y
7+y;add seven to y
7+z;seven plus z
7+z;add seven to z
8+0;eight plus zero
8+0;add eight to zero
8+1;eight plus one
8+1;add eight to one
8+2;eight plus two
8+2;add eight to two
8+3;eight plus three
8+3;add eight to three
8+4;eight plus four
8+4;add eight to four
8+5;eight plus five
8+5;add eight to five
8+6;eight plus six
8+6;add eight to six
8+7;eight plus seven
8+7;add eight to seven
8+8;eight plus eight
8+8;add eight to eight
8+9;eight plus nine
8+9;add eight to nine
8+x;eight plus x
8+x;add eight to x
8+y;eight plus y
8+y;add eight to y
8+z;eight plus z
8+z;add eight to z
9+0;nine plus zero
9+0;add nine to zero
9+1;nine plus one
9+1;add nine to one
9+2;nine plus two
9+2;add nine to two
9+3;nine plus three
9+3;add nine to three
9+4;nine plus four
9+4;add nine to four
9+5;nine plus five
9+5;add nine to five
9+6;nine plus six
9+6;add nine to six
9+7;nine plus seven
9+7;add nine to seven
9+8;nine plus eight
9+8;add nine to eight
9+9;nine plus nine
9+9;add nine to nine
9+x;nine plus x
9+x;add nine to x
9+y;nine plus y
9+y;add nine to y
9+z;nine plus z
9+z;add nine to z
x+0;x plus zero
x+0;add x to zero
x+1;x plus one
x+1;add x to one
x+2;x plus two
x+2;add x to two
x+3;x plus three
x+3;add x to three
x+4;x plus four
x+4;add x to four
x+5;x plus five
x+5;add x to five
x+6;x plus six
x+6;add x to six
x+7;x plus seven
x+7;add x to seven
x+8;x plus eight
x+8;add x to eight
x+9;x plus nine
x+9;add x to nine
x+x;x plus x
x+x;add x to x
x+y;x plus y
x+y;add x to y
x+z;x plus z
x+z;add x to z
y+0;y plus zero
y+0;add y to zero
y+1;y plus one
y+1;add y to one
y+2;y plus two
y+2;add y to two
y+3;y plus three
y+3;add y to three
y+4;y plus four
y+4;add y to four
y+5;y plus five
y+5;add y to five
y+6;y plus six
y+6;add y to six
y+7;y plus seven
y+7;add y to seven
y+8;y plus eight
y+8;add y to eight
y+9;y plus nine
y+9;add y to nine
y+x;y plus x
y+x;add y to x
y+y;y plus y
y+y;add y to y
y+z;y plus z
y+z;add y to z
z+0;z plus zero
z+0;add z to zero
z+1;z plus one
z+1;add z to one
z+2;z plus two
z+2;add z to two
z+3;z plus three
z+3;add z to three
z+4;z plus four
z+4;add z to four
z+5;z plus five
z+5;add z to five
z+6;z plus six
z+6;add z to six
z+7;z plus seven
z+7;add z to seven
z+8;z plus eight
z+8;add z to eight
z+9;z plus nine
z+9;add z to nine
z+x;z plus x
z+x;add z to x
z+y;z plus y
z+y;add z to y
z+z;z plus z
z+z;add z to z
0 \times 0;zero times zero
0 \times 0;zero multiplied by zero
0 \times 0;product of zero and zero
0 \times 1;zero times one
0 \times 1;zero multiplied by one
0 \times 1;product of zero and one
0 \times 2;zero times two
0 \times 2;zero multiplied by two
0 \times 2;product of zero and two
0 \times 3;zero times three
0 \times 3;zero multiplied by three
0 \times 3;product of zero and three
0 \times 4;zero times four
0 \times 4;zero multiplied by four
0 \times 4;product of zero and four
0 \times 5;zero times five
0 \times 5;zero multiplied by five
0 \times 5;product of zero and five
0 \times 6;zero times six
0 \times 6;zero multiplied by six
0 \times 6;product of zero and six
0 \times 7;zero times seven
0 \times 7;zero multiplied by seven
0 \times 7;product of zero and seven
0 \times 8;zero times eight
0 \times 8;zero multiplied by eight
0 \times 8;product of zero and eight
0 \times 9;zero times nine
0 \times 9;zero multiplied by nine
0 \times 9;product of zero and nine
0 \times x;zero times x
0 \times x;zero multiplied by x
0 \times x;product of zero and x
0 \times y;zero times y
0 \times y;zero multiplied by y
0 \times y;product of zero and y
0 \times z;zero times z
0 \times z;zero multiplied by z
0 \times z;product of zero and z
1 \times 0;one times zero
1 \times 0;one multiplied by zero
1 \times 0;product of one and zero
1 \times 1;one times one
1 \times 1;one multiplied by one
1 \times 1;product of one and one
1 \times 2;one times two
1 \times 2;one multiplied by two
1 \times 2;product of one and two
1 \times 3;one times three
1 \times 3;one multiplied by three
1 \times 3;product of one and three
1 \times 4;one times four
1 \times 4;one multiplied by four
1 \times 4;product of one and four
1 \times 5;one times five
1 \times 5;one multiplied by five
1 \times 5;product of one and five
1 \times 6;one times six
1 \times 6;one multiplied by six
1 \times 6;product of one and six
1 \times 7;one times seven
1 \times 7;one multiplied by seven
1 \times 7;product of one and seven
1 \times 8;one times eight
1 \times 8;one multiplied by eight
1 \times 8;product of one and eight
1 \times 9;one times nine
1 \times 9;one multiplied by nine
1 \times 9;product of one and nine
1 \times x;one times x
1 \times x;one multiplied by x
1 \times x;product of one and x
1 \times y;one times y
1 \times y;one multiplied by y
1 \times y;product of one and y
1 \times z;one times z
1 \times z;one multiplied by z
1 \times z;product of one and z
2 \times 0;two times zero
2 \times 0;two multiplied by zero
2 \times 0;product of two and zero
2 \times 1;two times one
2 \times 1;two multiplied by one
2 \times 1;product of two and one
2 \times 2;two times two
2 \times 2;two multiplied by two
2 \times 2;product of two and two
2 \times 3;two times three
2 \times 3;two multiplied by three
2 \times 3;product of two and three
2 \times 4;two times four
2 \times 4;two multiplied by four
2 \times 4;product of two and four
2 \times 5;two times five
2 \times 5;two multiplied by five
2 \times 5;product of two and five
2 \times 6;two times six
2 \times 6;two multiplied by six
2 \times 6;product of two and six
2 \times 7;two times seven
2 \times 7;two multiplied by seven
2 \times 7;product of two and seven
2 \times 8;two times eight
2 \times 8;two multiplied by eight
2 \times 8;product of two and eight
2 \times 9;two times nine
2 \times 9;two multiplied by nine
2 \times 9;product of two and nine
2 \times x;two times x
2 \times x;two multiplied by x
2 \times x;product of two and x
2 \times y;two times y
2 \times y;two multiplied by y
2 \times y;product of two and y
2 \times z;two times z
2 \times z;two multiplied by z
2 \times z;product of two and z
3 \times 0;three times zero
3 \times 0;three multiplied by zero
3 \times 0;product of three and zero
3 \times 1;three times one
3 \times 1;three multiplied by one
3 \times 1;product of three and one
3 \times 2;three times two
3 \times 2;three multiplied by two
3 \times 2;product of three and two
3 \times 3;three times three
3 \times 3;three multiplied by three
3 \times 3;product of three and three
3 \times 4;three times four
3 \times 4;three multiplied by four
3 \times 4;product of three and four
3 \times 5;three times five
3 \times 5;three multiplied by five
3 \times 5;product of three and five
3 \times 6;three times six
3 \times 6;three multiplied by six
3 \times 6;product of three and six
3 \times 7;three times seven
3 \times 7;three multiplied by seven
3 \times 7;product of three and seven
3 \times 8;three times eight
3 \times 8;three multiplied by eight
3 \times 8;product of three and eight
3 \times 9;three times nine
3 \times 9;three multiplied by nine
3 \times 9;product of three and nine
3 \times x;three times x
3 \times x;three multiplied by x
3 \times x;product of three and x
3 \times y;three times y
3 \times y;three multiplied by y
3 \times y;product of three and y
3 \times z;three times z
3 \times z;three multiplied by z
3 \times z;product of three and z
4 \times 0;four times zero
4 \times 0;four multiplied by zero
4 \times 0;product of four and zero
4 \times 1;four times one
4 \times 1;four multiplied by one
4 \times 1;product of four and one
4 \times 2;four times two
4 \times 2;four multiplied by two
4 \times 2;product of four and two
4 \times 3;four times three
4 \times 3;four multiplied by three
4 \times 3;product of four and three
4 \times 4;four times four
4 \times 4;four multiplied by four
4 \times 4;product of four and four
4 \times 5;four times five
4 \times 5;four multiplied by five
4 \times 5;product of four and five
4 \times 6;four times six
4 \times 6;four multiplied by six
4 \times 6;product of four and six
4 \times 7;four times seven
4 \times 7;four multiplied by seven
4 \times 7;product of four and seven
4 \times 8;four times eight
4 \times 8;four multiplied by eight
4 \times 8;product of four and eight
4 \times 9;four times nine
4 \times 9;four multiplied by nine
4 \times 9;product of four and nine
4 \times x;four times x
4 \times x;four multiplied by x
4 \times x;product of four and x
4 \times y;four times y
4 \times y;four multiplied by y
4 \times y;product of four and y
4 \times z;four times z
4 \times z;four multiplied by z
4 \times z;product of four and z
5 \times 0;five times zero
5 \times 0;five multiplied by zero
5 \times 0;product of five and zero
5 \times 1;five times one
5 \times 1;five multiplied by one
5 \times 1;product of five and one
5 \times 2;five times two
5 \times 2;five multiplied by two
5 \times 2;product of five and two
5 \times 3;five times three
5 \times 3;five multiplied by three
5 \times 3;product of five and three
5 \times 4;five times four
5 \times 4;five multiplied by four
5 \times 4;product of five and four
5 \times 5;five times five
5 \times 5;five multiplied by five
5 \times 5;product of five and five
5 \times 6;five times six
5 \times 6;five multiplied by six
5 \times 6;product of five and six
5 \times 7;five times seven
5 \times 7;five multiplied by seven
5 \times 7;product of five and seven
5 \times 8;five times eight
5 \times 8;five multiplied by eight
5 \times 8;product of five and eight
5 \times 9;five times nine
5 \times 9;five multiplied by nine
5 \times 9;product of five and nine
5 \times x;five times x
5 \times x;five multiplied by x
5 \times x;product of five and x
5 \times y;five times y
5 \times y;five multiplied by y
5 \times y;product of five and y
5 \times z;five times z
5 \times z;five multiplied by z
5 \times z;product of five and z
6 \times 0;six times zero
6 \times 0;six multiplied by zero
6 \times 0;product of six and zero
6 \times 1;six times one
6 \times 1;six multiplied by one
6 \times 1;product of six and one
6 \times 2;six times two
6 \times 2;six multiplied by two
6 \times 2;product of six and two
6 \times 3;six times three
6 \times 3;six multiplied by three
6 \times 3;product of six and three
6 \times 4;six times four
6 \times 4;six multiplied by four
6 \times 4;product of six and four
6 \times 5;six times five
6 \times 5;six multiplied by five
6 \times 5;product of six and five
6 \times 6;six times six
6 \times 6;six multiplied by six
6 \times 6;product of six and six
6 \times 7;six times seven
6 \times 7;six multiplied by seven
6 \times 7;product of six and seven
6 \times 8;six times eight
6 \times 8;six multiplied by eight
6 \times 8;product of six and eight
6 \times 9;six times nine
6 \times 9;six multiplied by nine
6 \times 9;product of six and nine
6 \times x;six times x
6 \times x;six multiplied by x
6 \times x;product of six and x
6 \times y;six times y
6 \times y;six multiplied by y
6 \times y;product of six and y
6 \times z;six times z
6 \times z;six multiplied by z
6 \times z;product of six and z
7 \times 0;seven times zero
7 \times 0;seven multiplied by zero
7 \times 0;product of seven and zero
7 \times 1;seven times one
7 \times 1;seven multiplied by one
7 \times 1;product of seven and one
7 \times 2;seven times two
7 \times 2;seven multiplied by two
7 \times 2;product of seven and two
7 \times 3;seven times three
7 \times 3;seven multiplied by three
7 \times 3;product of seven and three
7 \times 4;seven times four
7 \times 4;seven multiplied by four
7 \times 4;product of seven and four
7 \times 5;seven times five
7 \times 5;seven multiplied by five
7 \times 5;product of seven and five
7 \times 6;seven times six
7 \times 6;seven multiplied by six
7 \times 6;product of seven and six
7 \times 7;seven times seven
7 \times 7;seven multiplied by seven
7 \times 7;product of seven and seven
7 \times 8;seven times eight
7 \times 8;seven multiplied by eight
7 \times 8;product of seven and eight
7 \times 9;seven times nine
7 \times 9;seven multiplied by nine
7 \times 9;product of seven and nine
7 \times x;seven times x
7 \times x;seven multiplied by x
7 \times x;product of seven and x
7 \times y;seven times y
7 \times y;seven multiplied by y
7 \times y;product of seven and y
7 \times z;seven times z
7 \times z;seven multiplied by z
7 \times z;product of seven and z
8 \times 0;eight times zero
8 \times 0;eight multiplied by zero
8 \times 0;product of eight and zero
8 \times 1;eight times one
8 \times 1;eight multiplied by one
8 \times 1;product of eight and one
8 \times 2;eight times two
8 \times 2;eight multiplied by two
8 \times 2;product of eight and two
8 \times 3;eight times three
8 \times 3;eight multiplied by three
8 \times 3;product of eight and three
8 \times 4;eight times four
8 \times 4;eight multiplied by four
8 \times 4;product of eight and four
8 \times 5;eight times five
8 \times 5;eight multiplied by five
8 \times 5;product of eight and five
8 \times 6;eight times six
8 \times 6;eight multiplied by six
8 \times 6;product of eight and six
8 \times 7;eight times seven
8 \times 7;eight multiplied by seven
8 \times 7;product of eight and seven
8 \times 8;eight times eight
8 \times 8;eight multiplied by eight
8 \times 8;product of eight and eight
8 \times 9;eight times nine
8 \times 9;eight multiplied by nine
8 \times 9;product of eight and nine
8 \times x;eight times x
8 \times x;eight multiplied by x
8 \times x;product of eight and x
8 \times y;eight times y
8 \times y;eight multiplied by y
8 \times y;product of eight and y
8 \times z;eight times z
8 \times z;eight multiplied by z
8 \times z;product of eight and z
9 \times 0;nine times zero
9 \times 0;nine multiplied by zero
9 \times 0;product of nine and zero
9 \times 1;nine times one
9 \times 1;nine multiplied by one
9 \times 1;product of nine and one
9 \times 2;nine times two
9 \times 2;nine multiplied by two
9 \times 2;product of nine and two
9 \times 3;nine times three
9 \times 3;nine multiplied by three
9 \times 3;product of nine and three
9 \times 4;nine times four
9 \times 4;nine multiplied by four
9 \times 4;product of nine and four
9 \times 5;nine times five
9 \times 5;nine multiplied by five
9 \times 5;product of nine and five
9 \times 6;nine times six
9 \times 6;nine multiplied by six
9 \times 6;product of nine and six
9 \times 7;nine times seven
9 \times 7;nine multiplied by seven
9 \times 7;product of nine and seven
9 \times 8;nine times eight
9 \times 8;nine multiplied by eight
9 \times 8;product of nine and eight
9 \times 9;nine times nine
9 \times 9;nine multiplied by nine
9 \times 9;product of nine and nine
9 \times x;nine times x
9 \times x;nine multiplied by x
9 \times x;product of nine and x
9 \times y;nine times y
9 \times y;nine multiplied by y
9 \times y;product of nine and y
9 \times z;nine times z
9 \times z;nine multiplied by z
9 \times z;product of nine and z
x \times 0;x times zero
x \times 0;x multiplied by zero
x \times 0;product of x and zero
x \times 1;x times one
x \times 1;x multiplied by one
x \times 1;product of x and one
x \times 2;x times two
x \times 2;x multiplied by two
x \times 2;product of x and two
x \times 3;x times three
x \times 3;x multiplied by three
x \times 3;product of x and three
x \times 4;x times four
x \times 4;x multiplied by four
x \times 4;product of x and four
x \times 5;x times five
x \times 5;x multiplied by five
x \times 5;product of x and five
x \times 6;x times six
x \times 6;x multiplied by six
x \times 6;product of x and six
x \times 7;x times seven
x \times 7;x multiplied by seven
x \times 7;product of x and seven
x \times 8;x times eight
x \times 8;x multiplied by eight
x \times 8;product of x and eight
x \times 9;x times nine
x \times 9;x multiplied by nine
x \times 9;product of x and nine
x \times x;x times x
x \times x;x multiplied by x
x \times x;product of x and x
x \times y;x times y
x \times y;x multiplied by y
x \times y;product of x and y
x \times z;x times z
x \times z;x multiplied by z
x \times z;product of x and z
y \times 0;y times zero
y \times 0;y multiplied by zero
y \times 0;product of y and zero
y \times 1;y times one
y \times 1;y multiplied by one
y \times 1;product of y and one
y \times 2;y times two
y \times 2;y multiplied by two
y \times 2;product of y and two
y \times 3;y times three
y \times 3;y multiplied by three
y \times 3;product of y and three
y \times 4;y times four
y \times 4;y multiplied by four
y \times 4;product of y and four
y \times 5;y times five
y \times 5;y multiplied by five
y \times 5;product of y and five
y \times 6;y times six
y \times 6;y multiplied by six
y \times 6;product of y and six
y \times 7;y times seven
y \times 7;y multiplied by seven
y \times 7;product of y and seven
y \times 8;y times eight
y \times 8;y multiplied by eight
y \times 8;product of y and eight
y \times 9;y times nine
y \times 9;y multiplied by nine
y \times 9;product of y and nine
y \times x;y times x
y \times x;y multiplied by x
y \times x;product of y and x
y \times y;y times y
y \times y;y multiplied by y
y \times y;product of y and y
y \times z;y times z
y \times z;y multiplied by z
y \times z;product of y and z
z \times 0;z times zero
z \times 0;z multiplied by zero
z \times 0;product of z and zero
z \times 1;z times one
z \times 1;z multiplied by one
z \times 1;product of z and one
z \times 2;z times two
z \times 2;z multiplied by two
z \times 2;product of z and two
z \times 3;z times three
z \times 3;z multiplied by three
z \times 3;product of z and three
z \times 4;z times four
z \times 4;z multiplied by four
z \times 4;product of z and four
z \times 5;z times five
z \times 5;z multiplied by five
z \times 5;product of z and five
z \times 6;z times six
z \times 6;z multiplied by six
z \times 6;product of z and six
z \times 7;z times seven
z \times 7;z multiplied by seven
z \times 7;product of z and seven
z \times 8;z times eight
z \times 8;z multiplied by eight
z \times 8;product of z and eight
z \times 9;z times nine
z \times 9;z multiplied by nine
z \times 9;product of z and nine
z \times x;z times x
z \times x;z multiplied by x
z \times x;product of z and x
z \times y;z times y
z \times y;z multiplied by y
z \times y;product of z and y
z \times z;z times z
z \times z;z multiplied by z
z \times z;product of z and z
0 \ne 0;zero is not equal to zero
0 \ne 1;zero is not equal to one
0 \ne 2;zero is not equal to two
0 \ne 3;zero is not equal to three
0 \ne 4;zero is not equal to four
0 \ne 5;zero is not equal to five
0 \ne 6;zero is not equal to six
0 \ne 7;zero is not equal to seven
0 \ne 8;zero is not equal to eight
0 \ne 9;zero is not equal to nine
0 \ne x;zero is not equal to x
0 \ne y;zero is not equal to y
0 \ne z;zero is not equal to z
1 \ne 0;one is not equal to zero
1 \ne 1;one is not equal to one
1 \ne 2;one is not equal to two
1 \ne 3;one is not equal to three
1 \ne 4;one is not equal to four
1 \ne 5;one is not equal to five
1 \ne 6;one is not equal to six
1 \ne 7;one is not equal to seven
1 \ne 8;one is not equal to eight
1 \ne 9;one is not equal to nine
1 \ne x;one is not equal to x
1 \ne y;one is not equal to y
1 \ne z;one is not equal to z
2 \ne 0;two is not equal to zero
2 \ne 1;two is not equal to one
2 \ne 2;two is not equal to two
2 \ne 3;two is not equal to three
2 \ne 4;two is not equal to four
2 \ne 5;two is not equal to five
2 \ne 6;two is not equal to six
2 \ne 7;two is not equal to seven
2 \ne 8;two is not equal to eight
2 \ne 9;two is not equal to nine
2 \ne x;two is not equal to x
2 \ne y;two is not equal to y
2 \ne z;two is not equal to z
3 \ne 0;three is not equal to zero
3 \ne 1;three is not equal to one
3 \ne 2;three is not equal to two
3 \ne 3;three is not equal to three
3 \ne 4;three is not equal to four
3 \ne 5;three is not equal to five
3 \ne 6;three is not equal to six
3 \ne 7;three is not equal to seven
3 \ne 8;three is not equal to eight
3 \ne 9;three is not equal to nine
3 \ne x;three is not equal to x
3 \ne y;three is not equal to y
3 \ne z;three is not equal to z
4 \ne 0;four is not equal to zero
4 \ne 1;four is not equal to one
4 \ne 2;four is not equal to two
4 \ne 3;four is not equal to three
4 \ne 4;four is not equal to four
4 \ne 5;four is not equal to five
4 \ne 6;four is not equal to six
4 \ne 7;four is not equal to seven
4 \ne 8;four is not equal to eight
4 \ne 9;four is not equal to nine
4 \ne x;four is not equal to x
4 \ne y;four is not equal to y
4 \ne z;four is not equal to z
5 \ne 0;five is not equal to zero
5 \ne 1;five is not equal to one
5 \ne 2;five is not equal to two
5 \ne 3;five is not equal to three
5 \ne 4;five is not equal to four
5 \ne 5;five is not equal to five
5 \ne 6;five is not equal to six
5 \ne 7;five is not equal to seven
5 \ne 8;five is not equal to eight
5 \ne 9;five is not equal to nine
5 \ne x;five is not equal to x
5 \ne y;five is not equal to y
5 \ne z;five is not equal to z
6 \ne 0;six is not equal to zero
6 \ne 1;six is not equal to one
6 \ne 2;six is not equal to two
6 \ne 3;six is not equal to three
6 \ne 4;six is not equal to four
6 \ne 5;six is not equal to five
6 \ne 6;six is not equal to six
6 \ne 7;six is not equal to seven
6 \ne 8;six is not equal to eight
6 \ne 9;six is not equal to nine
6 \ne x;six is not equal to x
6 \ne y;six is not equal to y
6 \ne z;six is not equal to z
7 \ne 0;seven is not equal to zero
7 \ne 1;seven is not equal to one
7 \ne 2;seven is not equal to two
7 \ne 3;seven is not equal to three
7 \ne 4;seven is not equal to four
7 \ne 5;seven is not equal to five
7 \ne 6;seven is not equal to six
7 \ne 7;seven is not equal to seven
7 \ne 8;seven is not equal to eight
7 \ne 9;seven is not equal to nine
7 \ne x;seven is not equal to x
7 \ne y;seven is not equal to y
7 \ne z;seven is not equal to z
8 \ne 0;eight is not equal to zero
8 \ne 1;eight is not equal to one
8 \ne 2;eight is not equal to two
8 \ne 3;eight is not equal to three
8 \ne 4;eight is not equal to four
8 \ne 5;eight is not equal to five
8 \ne 6;eight is not equal to six
8 \ne 7;eight is not equal to seven
8 \ne 8;eight is not equal to eight
8 \ne 9;eight is not equal to nine
8 \ne x;eight is not equal to x
8 \ne y;eight is not equal to y
8 \ne z;eight is not equal to z
9 \ne 0;nine is not equal to zero
9 \ne 1;nine is not equal to one
9 \ne 2;nine is not equal to two
9 \ne 3;nine is not equal to three
9 \ne 4;nine is not equal to four
9 \ne 5;nine is not equal to five
9 \ne 6;nine is not equal to six
9 \ne 7;nine is not equal to seven
9 \ne 8;nine is not equal to eight
9 \ne 9;nine is not equal to nine
9 \ne x;nine is not equal to x
9 \ne y;nine is not equal to y
9 \ne z;nine is not equal to z
x \ne 0;x is not equal to zero
x \ne 1;x is not equal to one
x \ne 2;x is not equal to two
x \ne 3;x is not equal to three
x \ne 4;x is not equal to four
x \ne 5;x is not equal to five
x \ne 6;x is not equal to six
x \ne 7;x is not equal to seven
x \ne 8;x is not equal to eight
x \ne 9;x is not equal to nine
x \ne x;x is not equal to x
x \ne y;x is not equal to y
x \ne z;x is not equal to z
y \ne 0;y is not equal to zero
y \ne 1;y is not equal to one
y \ne 2;y is not equal to two
y \ne 3;y is not equal to three
y \ne 4;y is not equal to four
y \ne 5;y is not equal to five
y \ne 6;y is not equal to six
y \ne 7;y is not equal to seven
y \ne 8;y is not equal to eight
y \ne 9;y is not equal to nine
y \ne x;y is not equal to x
y \ne y;y is not equal to y
y \ne z;y is not equal to z
z \ne 0;z is not equal to zero
z \ne 1;z is not equal to one
z \ne 2;z is not equal to two
z \ne 3;z is not equal to three
z \ne 4;z is not equal to four
z \ne 5;z is not equal to five
z \ne 6;z is not equal to six
z \ne 7;z is not equal to seven
z \ne 8;z is not equal to eight
z \ne 9;z is not equal to nine
z \ne x;z is not equal to x
z \ne y;z is not equal to y
z \ne z;z is not equal to z
0 \ge 0;zero is greater or equal to zero
0 \ge 1;zero is greater or equal to one
0 \ge 2;zero is greater or equal to two
0 \ge 3;zero is greater or equal to three
0 \ge 4;zero is greater or equal to four
0 \ge 5;zero is greater or equal to five
0 \ge 6;zero is greater or equal to six
0 \ge 7;zero is greater or equal to seven
0 \ge 8;zero is greater or equal to eight
0 \ge 9;zero is greater or equal to nine
0 \ge x;zero is greater or equal to x
0 \ge y;zero is greater or equal to y
0 \ge z;zero is greater or equal to z
1 \ge 0;one is greater or equal to zero
1 \ge 1;one is greater or equal to one
1 \ge 2;one is greater or equal to two
1 \ge 3;one is greater or equal to three
1 \ge 4;one is greater or equal to four
1 \ge 5;one is greater or equal to five
1 \ge 6;one is greater or equal to six
1 \ge 7;one is greater or equal to seven
1 \ge 8;one is greater or equal to eight
1 \ge 9;one is greater or equal to nine
1 \ge x;one is greater or equal to x
1 \ge y;one is greater or equal to y
1 \ge z;one is greater or equal to z
2 \ge 0;two is greater or equal to zero
2 \ge 1;two is greater or equal to one
2 \ge 2;two is greater or equal to two
2 \ge 3;two is greater or equal to three
2 \ge 4;two is greater or equal to four
2 \ge 5;two is greater or equal to five
2 \ge 6;two is greater or equal to six
2 \ge 7;two is greater or equal to seven
2 \ge 8;two is greater or equal to eight
2 \ge 9;two is greater or equal to nine
2 \ge x;two is greater or equal to x
2 \ge y;two is greater or equal to y
2 \ge z;two is greater or equal to z
3 \ge 0;three is greater or equal to zero
3 \ge 1;three is greater or equal to one
3 \ge 2;three is greater or equal to two
3 \ge 3;three is greater or equal to three
3 \ge 4;three is greater or equal to four
3 \ge 5;three is greater or equal to five
3 \ge 6;three is greater or equal to six
3 \ge 7;three is greater or equal to seven
3 \ge 8;three is greater or equal to eight
3 \ge 9;three is greater or equal to nine
3 \ge x;three is greater or equal to x
3 \ge y;three is greater or equal to y
3 \ge z;three is greater or equal to z
4 \ge 0;four is greater or equal to zero
4 \ge 1;four is greater or equal to one
4 \ge 2;four is greater or equal to two
4 \ge 3;four is greater or equal to three
4 \ge 4;four is greater or equal to four
4 \ge 5;four is greater or equal to five
4 \ge 6;four is greater or equal to six
4 \ge 7;four is greater or equal to seven
4 \ge 8;four is greater or equal to eight
4 \ge 9;four is greater or equal to nine
4 \ge x;four is greater or equal to x
4 \ge y;four is greater or equal to y
4 \ge z;four is greater or equal to z
5 \ge 0;five is greater or equal to zero
5 \ge 1;five is greater or equal to one
5 \ge 2;five is greater or equal to two
5 \ge 3;five is greater or equal to three
5 \ge 4;five is greater or equal to four
5 \ge 5;five is greater or equal to five
5 \ge 6;five is greater or equal to six
5 \ge 7;five is greater or equal to seven
5 \ge 8;five is greater or equal to eight
5 \ge 9;five is greater or equal to nine
5 \ge x;five is greater or equal to x
5 \ge y;five is greater or equal to y
5 \ge z;five is greater or equal to z
6 \ge 0;six is greater or equal to zero
6 \ge 1;six is greater or equal to one
6 \ge 2;six is greater or equal to two
6 \ge 3;six is greater or equal to three
6 \ge 4;six is greater or equal to four
6 \ge 5;six is greater or equal to five
6 \ge 6;six is greater or equal to six
6 \ge 7;six is greater or equal to seven
6 \ge 8;six is greater or equal to eight
6 \ge 9;six is greater or equal to nine
6 \ge x;six is greater or equal to x
6 \ge y;six is greater or equal to y
6 \ge z;six is greater or equal to z
7 \ge 0;seven is greater or equal to zero
7 \ge 1;seven is greater or equal to one
7 \ge 2;seven is greater or equal to two
7 \ge 3;seven is greater or equal to three
7 \ge 4;seven is greater or equal to four
7 \ge 5;seven is greater or equal to five
7 \ge 6;seven is greater or equal to six
7 \ge 7;seven is greater or equal to seven
7 \ge 8;seven is greater or equal to eight
7 \ge 9;seven is greater or equal to nine
7 \ge x;seven is greater or equal to x
7 \ge y;seven is greater or equal to y
7 \ge z;seven is greater or equal to z
8 \ge 0;eight is greater or equal to zero
8 \ge 1;eight is greater or equal to one
8 \ge 2;eight is greater or equal to two
8 \ge 3;eight is greater or equal to three
8 \ge 4;eight is greater or equal to four
8 \ge 5;eight is greater or equal to five
8 \ge 6;eight is greater or equal to six
8 \ge 7;eight is greater or equal to seven
8 \ge 8;eight is greater or equal to eight
8 \ge 9;eight is greater or equal to nine
8 \ge x;eight is greater or equal to x
8 \ge y;eight is greater or equal to y
8 \ge z;eight is greater or equal to z
9 \ge 0;nine is greater or equal to zero
9 \ge 1;nine is greater or equal to one
9 \ge 2;nine is greater or equal to two
9 \ge 3;nine is greater or equal to three
9 \ge 4;nine is greater or equal to four
9 \ge 5;nine is greater or equal to five
9 \ge 6;nine is greater or equal to six
9 \ge 7;nine is greater or equal to seven
9 \ge 8;nine is greater or equal to eight
9 \ge 9;nine is greater or equal to nine
9 \ge x;nine is greater or equal to x
9 \ge y;nine is greater or equal to y
9 \ge z;nine is greater or equal to z
x \ge 0;x is greater or equal to zero
x \ge 1;x is greater or equal to one
x \ge 2;x is greater or equal to two
x \ge 3;x is greater or equal to three
x \ge 4;x is greater or equal to four
x \ge 5;x is greater or equal to five
x \ge 6;x is greater or equal to six
x \ge 7;x is greater or equal to seven
x \ge 8;x is greater or equal to eight
x \ge 9;x is greater or equal to nine
x \ge x;x is greater or equal to x
x \ge y;x is greater or equal to y
x \ge z;x is greater or equal to z
y \ge 0;y is greater or equal to zero
y \ge 1;y is greater or equal to one
y \ge 2;y is greater or equal to two
y \ge 3;y is greater or equal to three
y \ge 4;y is greater or equal to four
y \ge 5;y is greater or equal to five
y \ge 6;y is greater or equal to six
y \ge 7;y is greater or equal to seven
y \ge 8;y is greater or equal to eight
y \ge 9;y is greater or equal to nine
y \ge x;y is greater or equal to x
y \ge y;y is greater or equal to y
y \ge z;y is greater or equal to z
z \ge 0;z is greater or equal to zero
z \ge 1;z is greater or equal to one
z \ge 2;z is greater or equal to two
z \ge 3;z is greater or equal to three
z \ge 4;z is greater or equal to four
z \ge 5;z is greater or equal to five
